IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
000053-01012017,01.Jan.17,00:53:30,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,IG3 8TH,IG3,E09000026,REDBRIDGE,E05000512,SEVEN KINGS,546356,187418,546350,187450,London,Ilford,242,Ilford,NULL,,1,1
000054-01012017,01.Jan.17,00:55:47,Special Service,Special Service,Flooding,Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,Within same building,,SE25,E09000008,CROYDON,E05000164,SOUTH NORWOOD,NULL,NULL,533650,168150,London,Woodside,332,Woodside,NULL,,1,1
000055-01012017,01.Jan.17,00:56:44,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,E16 2HR,E16,E09000025,NEWHAM,E05000491,ROYAL DOCKS,542667,180032,542650,180050,London,Plaistow,475,East Ham,NULL,,1,1
000058-01012017,01.Jan.17,01:02:22,False Alarm,False alarm - Good intent,,Non Residential,Central Government Office,Correct incident location,SW1X 7LF,SW1X,E09000033,WESTMINSTER,E05000637,KNIGHTSBRIDGE AND BELGRAVIA,527877,179777,527850,179750,London,Kensington,300,Chelsea,310,Kensington,4,4
000059-01012017,01.Jan.17,01:03:15,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,SE11 5AW,SE11,E09000022,LAMBETH,E05000427,PRINCE'S,530446,178216,530450,178250,London,Lambeth,150,Lambeth,266,Lambeth,1,2
000060-01012017,01.Jan.17,01:04:05,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W9,E09000033,WESTMINSTER,E05000635,HARROW ROAD,NULL,NULL,525450,182150,London,Paddington,247,Paddington,NULL,,1,1
000061-01012017,01.Jan.17,01:07:15,Special Service,Special Service,Making Safe (not RTC),Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW8,E09000022,LAMBETH,E05000419,CLAPHAM TOWN,NULL,NULL,528550,175750,London,Clapham,239,Battersea,NULL,,1,1
000062-01012017,01.Jan.17,01:08:23,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Correct incident location,HA7 3BU,HA7,E09000015,HARROW,E05000303,STANMORE PARK,516687,192702,516650,192750,London,Stanmore,294,Stanmore,NULL,,1,1
000065-01012017,01.Jan.17,01:14:00,False Alarm,AFA,,Non Residential,Telephone exchange,Correct incident location,W3 9NZ,W3,E09000009,EALING,E05000188,SOUTH ACTON,519815,180328,519850,180350,London,Acton,383,Acton,NULL,,1,1
000066-01012017,01.Jan.17,01:15:45,Fire,Secondary Fire,,Outdoor,Hedge,In street close to gazetteer location,E16 2HN,E16,E09000025,NEWHAM,E05000491,ROYAL DOCKS,542458,180167,542450,180150,London,Plaistow,14,East Ham,NULL,,1,1
000067-01012017,01.Jan.17,01:18:00,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,CR0 4YF,CR0,E09000008,CROYDON,E05000149,BROAD GREEN,530430,166485,530450,166450,London,Croydon,354,Croydon,NULL,,1,1
000069-01012017,01.Jan.17,01:26:35,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,SM6 7NS,SM6,E09000029,SUTTON,E05000569,WALLINGTON NORTH,528609,164772,528650,164750,London,Wallington,177,Wallington,382,Croydon,2,2
000071-01012017,01.Jan.17,01:29:24,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,E15,E09000025,NEWHAM,E05000494,WEST HAM,NULL,NULL,539350,184050,London,Stratford,269,Stratford,NULL,,1,1
000072-01012017,01.Jan.17,01:31:32,False Alarm,AFA,,Non Residential,Bank/Building Society ,Correct incident location,SW1Y 4ND,SW1Y,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,529526,180579,529550,180550,London,Soho,NULL,,NULL,,2,2
000074-01012017,01.Jan.17,01:34:25,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W3,E09000009,EALING,E05000170,ACTON CENTRAL,NULL,NULL,519950,180450,London,Acton,583,Southall,860,Fulham,3,4
000075-01012017,01.Jan.17,01:35:17,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,NW1,E09000007,CAMDEN,E05000136,HAVERSTOCK,NULL,NULL,528350,184450,London,Kentish Town,NULL,,NULL,,1,1
000077-01012017,01.Jan.17,01:38:42,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,WC1H 9JE,WC1H,E09000007,CAMDEN,E05000141,KING'S CROSS,530126,182786,530150,182750,London,Euston,185,Euston,NULL,,2,2
000078-01012017,01.Jan.17,01:41:32,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,SE15 2RX,SE15,E09000028,SOUTHWARK,E05000545,NUNHEAD,535053,177237,535050,177250,London,New Cross,193,New Cross,NULL,,1,1
000085-01012017,01.Jan.17,01:45:06,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,W3,E09000009,EALING,E05000188,SOUTH ACTON,NULL,NULL,519950,179850,London,Acton,922,Paddington,1140,Wandsworth,4,4
000086-01012017,01.Jan.17,01:48:28,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,W3,E09000009,EALING,E05000170,ACTON CENTRAL,NULL,NULL,519850,180350,London,Acton,1176,West Hampstead,NULL,,1,1
000087-01012017,01.Jan.17,01:49:03,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N13,E09000010,ENFIELD,E05000205,PALMERS GREEN,NULL,NULL,530950,192450,London,Southgate,258,Southgate,523,Edmonton,2,2
000089-01012017,01.Jan.17,01:56:22,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,N9,E09000010,ENFIELD,E05000204,LOWER EDMONTON,NULL,NULL,535350,194050,London,Edmonton,NULL,,NULL,,1,1
000091-01012017,01.Jan.17,01:57:56,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,KT9,E09000021,KINGSTON UPON THAMES,E05000405,CHESSINGTON SOUTH,NULL,NULL,517750,163750,London,Surbiton,NULL,,NULL,,1,1
000095-01012017,01.Jan.17,02:05:45,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N13,E09000010,ENFIELD,E05000193,BOWES,NULL,NULL,531450,192150,London,Edmonton,592,Hornsey,595,Tottenham,2,2
000098-01012017,01.Jan.17,02:16:24,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Within same building,SE1 3UD,SE1,E09000028,SOUTHWARK,E05000542,GRANGE,533192,179858,533150,179850,London,Dockhead,360,Dockhead,NULL,,1,1
000099-01012017,01.Jan.17,02:21:08,Special Service,Special Service,Animal assistance incidents,Outdoor Structure,Railings,Correct incident location,BR2 0AX,BR2,E09000006,BROMLEY,E05000109,BROMLEY TOWN,538997,169789,538950,169750,London,Bromley,672,Bromley,NULL,,1,1
000100-01012017,01.Jan.17,02:22:19,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,E10 7HG,E10,E09000031,WALTHAM FOREST,E05000603,LEA BRIDGE,537491,187801,537450,187850,London,Leyton,260,Leyton,NULL,,1,1
000102-01012017,01.Jan.17,02:25:09,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,HA3,E09000015,HARROW,E05000295,KENTON WEST,NULL,NULL,516850,188850,London,Stanmore,569,Stanmore,NULL,,1,1
000103-01012017,01.Jan.17,02:26:41,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,E10 6DU,E10,E09000031,WALTHAM FOREST,E05000595,FOREST,538770,188807,538750,188850,London,Leytonstone,537,Walthamstow,NULL,,1,1
000105-01012017,01.Jan.17,02:31:58,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,UB5,E09000009,EALING,E05000184,NORTHOLT MANDEVILLE,NULL,NULL,513150,185150,London,Northolt,307,Northolt,487,Northolt,1,2
000110-01012017,01.Jan.17,02:42:03,False Alarm,AFA,,Non Residential,Multi-Storey car park,Within same building,E14 9SD,E14,E09000030,TOWER HAMLETS,E05009318,BLACKWALL & CUBITT TOWN,538154,179788,538150,179750,London,Millwall,235,Millwall,NULL,,1,1
000112-01012017,01.Jan.17,02:49:03,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,DA8,E09000004,BEXLEY,E05000079,NORTH END,NULL,NULL,552250,177350,London,Erith,481,Erith,NULL,,1,1
000114-01012017,01.Jan.17,02:52:40,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SW16,E09000022,LAMBETH,E05000428,ST. LEONARD'S,NULL,NULL,529650,171050,London,Norbury,509,Tooting,NULL,,1,1
000115-01012017,01.Jan.17,02:54:33,False Alarm,AFA,,Non Residential,Restaurant/cafe,Within same building,SW1Y 4UH,SW1Y,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,529610,180615,529650,180650,London,Soho,247,Soho,475,Lambeth,3,3
000116-01012017,01.Jan.17,02:55:14,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,E17 6JJ,E17,E09000031,WALTHAM FOREST,E05000599,HIGH STREET,535750,189362,535750,189350,London,Walthamstow,184,Walthamstow,184,Walthamstow,1,2
000120-01012017,01.Jan.17,03:15:50,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW6,E09000007,CAMDEN,E05000140,KILBURN,NULL,NULL,526150,183950,London,West Hampstead,307,West Hampstead,NULL,,1,1
000125-01012017,01.Jan.17,03:42:18,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,RM1,E09000016,HAVERING,E05000319,ROMFORD TOWN,NULL,NULL,551850,188450,London,Hornchurch,346,Romford,349,Hornchurch,2,2
000127-01012017,01.Jan.17,03:57:50,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE27,E09000022,LAMBETH,E05000424,KNIGHT'S HILL,NULL,NULL,531850,172350,London,West Norwood,206,West Norwood,230,West Norwood,1,2
000128-01012017,01.Jan.17,04:06:02,Special Service,Special Service,Flooding,Non Residential,Hospital ,Correct incident location,SW15 4JD,SW15,E09000032,WANDSWORTH,E05000621,ROEHAMPTON AND PUTNEY HEATH,522241,173553,522250,173550,London,Wandsworth,346,Wandsworth,NULL,,1,1
000131-01012017,01.Jan.17,04:17:47,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street outside gazetteer location,IG7 5ND,IG7,E00000000, Not geo-coded,E00000000, Not geo-coded,544579,191872,544550,191850,OverTheBorder,OverTheBorder,NULL,,NULL,,1,1
000132-01012017,01.Jan.17,04:22:42,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,EN5 5FL,EN5,E09000003,BARNET,E05000056,HIGH BARNET,526273,196291,526250,196250,London,Barnet,234,Barnet,435,Southgate,2,2
000133-01012017,01.Jan.17,04:25:29,Fire,Secondary Fire,,Outdoor,Hedge,In street outside gazetteer location,SE6 3LS,SE6,E09000023,LEWISHAM,E05000437,BELLINGHAM,536973,171864,536950,171850,London,Forest Hill,516,Beckenham,NULL,,1,1
000134-01012017,01.Jan.17,04:27:15,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,SE8 3NU,SE8,E09000023,LEWISHAM,E05000443,EVELYN,537144,177497,537150,177450,London,Deptford,334,Deptford,NULL,,1,1
000135-01012017,01.Jan.17,04:45:26,False Alarm,AFA,,Non Residential,TV/film/music/art studio ,Correct incident location,SE8 4AU,SE8,E09000023,LEWISHAM,E05000449,NEW CROSS,537016,177196,537050,177150,London,Deptford,322,Greenwich,NULL,,1,1
000138-01012017,01.Jan.17,04:51:36,False Alarm,AFA,,Non Residential,Trains - engine shed ,Correct incident location,DA8 2NJ,DA8,E09000004,BEXLEY,E05000079,NORTH END,552396,176403,552350,176450,London,Bexley,447,Erith,NULL,,1,1
000139-01012017,01.Jan.17,04:54:54,Special Service,Special Service,Other Transport incident,Non Residential,Train station - platform (below ground) ,Correct incident location,W1D 2DH,W1D,E09000033,WESTMINSTER,E05000649,WEST END,529789,181364,529750,181350,London,Soho,220,Soho,654,Soho,1,2
000141-01012017,01.Jan.17,04:58:45,Fire,Primary Fire,,Dwelling,Unlicensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,SE6,E09000023,LEWISHAM,E05000437,BELLINGHAM,NULL,NULL,537050,173050,London,Forest Hill,323,Lewisham,478,Lee Green,2,2
000145-01012017,01.Jan.17,05:16:07,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,SW16,E09000022,LAMBETH,E05000431,STREATHAM SOUTH,NULL,NULL,529550,170050,London,Norbury,489,Mitcham,NULL,,1,1
000149-01012017,01.Jan.17,05:25:50,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,BR2 6AG,BR2,E09000006,BROMLEY,E05000108,BROMLEY COMMON AND KESTON,541551,163351,541550,163350,London,Biggin Hill,540,Biggin Hill,NULL,,1,1
000151-01012017,01.Jan.17,05:29:38,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,RM3,E09000016,HAVERING,E05000310,GOOSHAYS,NULL,NULL,553750,192150,London,Harold Hill,353,Harold Hill,405,Romford,2,2
000155-01012017,01.Jan.17,05:48:55,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,E09000012,HACKNEY,E05009377,HOXTON EAST & SHOREDITCH,NULL,NULL,533250,183250,London,Shoreditch,325,Shoreditch,490,Islington,2,2
000156-01012017,01.Jan.17,05:50:35,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,SM1 4DD,SM1,E09000029,SUTTON,E05000564,SUTTON CENTRAL,525913,164631,525950,164650,London,Sutton,330,Sutton,NULL,,1,1
000157-01012017,01.Jan.17,05:59:04,False Alarm,AFA,,Non Residential,Concert Hall ,Correct incident location,NW1 8EH,NW1,E09000007,CAMDEN,E05000130,CAMDEN TOWN WITH PRIMROSE HILL,528297,184302,528250,184350,London,Kentish Town,475,Kentish Town,NULL,,1,1
000159-01012017,01.Jan.17,06:07:35,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,WC1H 0EH,WC1H,E09000007,CAMDEN,E05000129,BLOOMSBURY,529690,182456,529650,182450,London,Euston,158,Euston,NULL,,2,2
000160-01012017,01.Jan.17,06:08:28,Special Service,Special Service,Suicide/attempts,Non Residential,Fire station ,Correct incident location,NW5 1NS,NW5,E09000007,CAMDEN,E05000139,KENTISH TOWN,528933,185393,528950,185350,London,Kentish Town,3,Kentish Town,NULL,,1,1
000161-01012017,01.Jan.17,06:13:52,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1U 3RN,W1U,E09000033,WESTMINSTER,E05000641,MARYLEBONE HIGH STREET,528340,181302,528350,181350,London,Soho,392,Soho,NULL,,1,1
000162-01012017,01.Jan.17,06:21:31,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,NW1 5HT,NW1,E09000033,WESTMINSTER,E05000641,MARYLEBONE HIGH STREET,528341,182095,528350,182050,London,Euston,280,Paddington,331,Paddington,1,2
000163-01012017,01.Jan.17,06:27:37,Fire,Primary Fire,,Non Residential,Train station - platform (below ground) ,Correct incident location,W1D 2LR,W1D,E09000033,WESTMINSTER,E05000649,WEST END,529083,181237,529050,181250,London,Soho,281,Soho,305,Euston,3,3
000165-01012017,01.Jan.17,06:29:58,False Alarm,AFA,,Non Residential,Restaurant/cafe,Correct incident location,SE15 4TP,SE15,E09000028,SOUTHWARK,E05000553,THE LANE,534373,176117,534350,176150,London,Peckham,377,Peckham,NULL,,1,1
000167-01012017,01.Jan.17,06:31:24,False Alarm,AFA,,Non Residential,Church/Chapel ,Within same building,SE18 6NL,SE18,E09000011,GREENWICH,E05000230,WOOLWICH RIVERSIDE,543233,179157,543250,179150,London,Plumstead,312,Plumstead,NULL,,1,1
000170-01012017,01.Jan.17,06:38:45,Fire,Primary Fire,,Road Vehicle,Van ,In street remote from gazetteer location,E7 0AS,E7,E09000031,WALTHAM FOREST,E05000590,CANN HALL,539940,185764,539950,185750,London,Stratford,465,Leytonstone,NULL,,1,1
000171-01012017,01.Jan.17,06:56:31,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE11,E09000022,LAMBETH,E05000427,PRINCE'S,NULL,NULL,531050,178650,London,Lambeth,241,Lambeth,473,Dowgate,2,2
000172-01012017,01.Jan.17,07:00:19,False Alarm,False alarm - Malicious,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,HA3,E09000005,BRENT,E05000093,KENTON,NULL,NULL,517850,188650,London,Stanmore,429,Stanmore,432,Stanmore,1,2
000175-01012017,01.Jan.17,07:03:11,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,UB9 6JH,UB9,E09000017,HILLINGDON,E05000330,HAREFIELD,505149,190913,505150,190950,London,Ruislip,494,Ruislip,NULL,,2,2
000176-01012017,01.Jan.17,07:06:25,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E14,E09000030,TOWER HAMLETS,E05009326,LIMEHOUSE,NULL,NULL,536150,181050,London,Shadwell,285,Shadwell,295,Whitechapel,4,4
000179-01012017,01.Jan.17,07:17:03,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E13,E09000025,NEWHAM,E05000486,GREEN STREET WEST,NULL,NULL,541050,183750,London,Stratford,384,Plaistow,NULL,,1,1
000180-01012017,01.Jan.17,07:24:14,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E9,E09000012,HACKNEY,E05009376,HOMERTON,NULL,NULL,535250,184750,London,Homerton,191,Homerton,NULL,,1,1
000182-01012017,01.Jan.17,07:35:46,Special Service,Special Service,No action (not false alarm),Non Residential,Hospital ,Correct incident location,SE1 7EH,SE1,E09000022,LAMBETH,E05000416,BISHOP'S,530703,179517,530750,179550,London,Lambeth,148,Lambeth,434,Soho,2,2
000187-01012017,01.Jan.17,07:59:23,Special Service,Special Service,RTC,Road Vehicle,Car ,On motorway / elevated road,E1W 3WF,E1W,E09000030,TOWER HAMLETS,E05009330,ST. KATHARINE'S & WAPPING,535946,180886,535950,180850,London,Shadwell,329,Shadwell,441,Whitechapel,2,2
000189-01012017,01.Jan.17,07:59:45,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W7,E09000009,EALING,E05000171,CLEVELAND,NULL,NULL,515650,182150,London,Ealing,424,Ealing,508,Southall,2,2
000191-01012017,01.Jan.17,08:10:06,Special Service,Special Service,Flooding,Other Residential,Retirement/Old Persons Home,Correct incident location,N1 0TH,N1,E09000019,ISLINGTON,E05000366,BARNSBURY,530887,183481,530850,183450,London,Euston,301,Euston,NULL,,1,1
000194-01012017,01.Jan.17,08:16:11,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N5,E09000019,ISLINGTON,E05000372,HIGHBURY EAST,NULL,NULL,531350,185350,London,Holloway,195,Islington,407,Stoke Newington,2,2
000195-01012017,01.Jan.17,08:16:14,False Alarm,AFA,,Other Residential,Hotel/motel ,Within same building,EN1 1FS,EN1,E09000010,ENFIELD,E05000203,JUBILEE,534354,195762,534350,195750,London,Edmonton,261,Enfield,NULL,,1,1
